# Output Neuron Index, Sum of Average Intensities (Rounded)
0, 54
1, 59
2, 63
3, 67
4, 69
5, 70
6, 71
7, 71
8, 71
9, 71
10, 71
11, 71
12, 71
13, 71
14, 71
15, 70
16, 69
17, 67
18, 65
19, 61
20, 57
21, 63
22, 68
23, 71
24, 74
25, 75
26, 76
27, 76
28, 76
29, 76
30, 76
31, 76
32, 76
33, 76
34, 76
35, 75
36, 74
37, 72
38, 69
39, 65
40, 62
41, 68
42, 73
43, 76
44, 79
45, 80
46, 81
47, 81
48, 81
49, 81
50, 81
51, 81
52, 81
53, 81
54, 81
55, 80
56, 79
57, 77
58, 73
59, 69
60, 66
61, 73
62, 78
63, 82
64, 84
65, 86
66, 86
67, 87
68, 87
69, 87
70, 87
71, 87
72, 87
73, 87
74, 87
75, 86
76, 84
77, 82
78, 78
79, 74
80, 71
81, 78
82, 83
83, 87
84, 89
85, 91
86, 92
87, 92
88, 92
89, 92
90, 92
91, 92
92, 92
93, 92
94, 92
95, 91
96, 89
97, 87
98, 83
99, 78
100, 75
101, 82
102, 87
103, 91
104, 94
105, 96
106, 96
107, 97
108, 97
109, 97
110, 97
111, 97
112, 97
113, 97
114, 96
115, 96
116, 94
117, 91
118, 87
119, 82
120, 78
121, 85
122, 91
123, 95
124, 97
125, 99
126, 100
127, 100
128, 100
129, 100
130, 100
131, 100
132, 100
133, 100
134, 100
135, 99
136, 97
137, 94
138, 90
139, 84
140, 80
141, 87
142, 92
143, 96
144, 99
145, 100
146, 101
147, 102
148, 102
149, 102
150, 102
151, 102
152, 102
153, 102
154, 101
155, 100
156, 99
157, 96
158, 91
159, 86
160, 80
161, 87
162, 93
163, 97
164, 99
165, 101
166, 102
167, 102
168, 102
169, 102
170, 102
171, 102
172, 102
173, 102
174, 102
175, 101
176, 99
177, 96
178, 92
179, 86
180, 80
181, 87
182, 93
183, 97
184, 100
185, 101
186, 102
187, 102
188, 102
189, 102
190, 102
191, 102
192, 102
193, 102
194, 102
195, 101
196, 99
197, 96
198, 92
199, 86
200, 80
201, 87
202, 93
203, 97
204, 100
205, 101
206, 102
207, 102
208, 102
209, 102
210, 102
211, 102
212, 102
213, 102
214, 102
215, 101
216, 99
217, 96
218, 92
219, 86
220, 80
221, 87
222, 93
223, 97
224, 100
225, 101
226, 102
227, 102
228, 102
229, 102
230, 102
231, 102
232, 102
233, 102
234, 102
235, 101
236, 99
237, 96
238, 92
239, 86
240, 80
241, 87
242, 93
243, 97
244, 99
245, 101
246, 102
247, 102
248, 102
249, 102
250, 102
251, 102
252, 102
253, 102
254, 102
255, 101
256, 99
257, 96
258, 92
259, 86
260, 80
261, 87
262, 92
263, 96
264, 99
265, 101
266, 101
267, 102
268, 102
269, 102
270, 102
271, 102
272, 102
273, 102
274, 101
275, 101
276, 99
277, 96
278, 91
279, 86
280, 79
281, 86
282, 91
283, 95
284, 98
285, 99
286, 100
287, 100
288, 100
289, 100
290, 100
291, 100
292, 100
293, 100
294, 100
295, 99
296, 97
297, 94
298, 90
299, 84
300, 76
301, 83
302, 88
303, 92
304, 95
305, 96
306, 97
307, 97
308, 97
309, 97
310, 97
311, 97
312, 97
313, 97
314, 97
315, 96
316, 94
317, 91
318, 87
319, 82
320, 73
321, 79
322, 84
323, 88
324, 90
325, 92
326, 92
327, 93
328, 93
329, 93
330, 93
331, 93
332, 93
333, 93
334, 92
335, 91
336, 90
337, 87
338, 83
339, 77
340, 69
341, 75
342, 79
343, 82
344, 85
345, 86
346, 87
347, 87
348, 87
349, 87
350, 87
351, 87
352, 87
353, 87
354, 87
355, 86
356, 84
357, 81
358, 77
359, 72
360, 64
361, 70
362, 74
363, 77
364, 79
365, 80
366, 81
367, 81
368, 81
369, 81
370, 81
371, 81
372, 81
373, 81
374, 81
375, 80
376, 78
377, 76
378, 72
379, 67
380, 60
381, 65
382, 69
383, 72
384, 74
385, 75
386, 75
387, 75
388, 75
389, 75
390, 75
391, 75
392, 75
393, 75
394, 75
395, 74
396, 73
397, 70
398, 67
399, 62
