# Output Neuron Index, Sum of Average Intensities (Rounded)
0, 26
1, 31
2, 36
3, 40
4, 45
5, 48
6, 51
7, 52
8, 53
9, 54
10, 54
11, 54
12, 54
13, 53
14, 52
15, 50
16, 47
17, 43
18, 40
19, 36
20, 30
21, 35
22, 40
23, 45
24, 50
25, 54
26, 56
27, 58
28, 59
29, 60
30, 60
31, 60
32, 60
33, 59
34, 57
35, 55
36, 52
37, 48
38, 44
39, 40
40, 33
41, 38
42, 44
43, 50
44, 55
45, 59
46, 62
47, 64
48, 65
49, 65
50, 66
51, 66
52, 65
53, 64
54, 62
55, 60
56, 56
57, 52
58, 48
59, 43
60, 35
61, 41
62, 48
63, 54
64, 59
65, 63
66, 67
67, 69
68, 70
69, 71
70, 71
71, 71
72, 70
73, 69
74, 67
75, 65
76, 61
77, 56
78, 52
79, 47
80, 38
81, 45
82, 51
83, 57
84, 63
85, 68
86, 71
87, 74
88, 75
89, 76
90, 76
91, 76
92, 75
93, 74
94, 72
95, 69
96, 65
97, 60
98, 55
99, 50
100, 41
101, 48
102, 55
103, 62
104, 68
105, 73
106, 76
107, 79
108, 80
109, 81
110, 81
111, 81
112, 80
113, 79
114, 77
115, 73
116, 69
117, 64
118, 59
119, 53
120, 44
121, 51
122, 59
123, 66
124, 73
125, 78
126, 82
127, 84
128, 86
129, 86
130, 87
131, 87
132, 86
133, 84
134, 82
135, 78
136, 74
137, 68
138, 63
139, 57
140, 47
141, 55
142, 63
143, 71
144, 78
145, 83
146, 87
147, 89
148, 91
149, 92
150, 92
151, 92
152, 91
153, 89
154, 87
155, 83
156, 78
157, 72
158, 66
159, 60
160, 51
161, 59
162, 67
163, 75
164, 82
165, 87
166, 91
167, 94
168, 96
169, 96
170, 97
171, 96
172, 96
173, 94
174, 91
175, 87
176, 82
177, 76
178, 69
179, 62
180, 53
181, 61
182, 70
183, 78
184, 85
185, 90
186, 94
187, 97
188, 99
189, 100
190, 100
191, 100
192, 99
193, 97
194, 94
195, 90
196, 84
197, 78
198, 71
199, 64
200, 54
201, 63
202, 71
203, 79
204, 86
205, 92
206, 96
207, 98
208, 100
209, 101
210, 101
211, 101
212, 100
213, 98
214, 95
215, 91
216, 85
217, 79
218, 72
219, 64
220, 54
221, 62
222, 71
223, 79
224, 85
225, 91
226, 95
227, 97
228, 99
229, 100
230, 100
231, 100
232, 99
233, 97
234, 94
235, 90
236, 84
237, 78
238, 71
239, 63
240, 52
241, 61
242, 69
243, 76
244, 83
245, 88
246, 92
247, 95
248, 96
249, 97
250, 97
251, 97
252, 96
253, 94
254, 91
255, 87
256, 82
257, 75
258, 68
259, 61
260, 50
261, 58
262, 66
263, 73
264, 79
265, 84
266, 88
267, 90
268, 92
269, 92
270, 93
271, 92
272, 91
273, 90
274, 87
275, 83
276, 77
277, 71
278, 64
279, 57
280, 48
281, 55
282, 62
283, 69
284, 75
285, 79
286, 82
287, 85
288, 86
289, 87
290, 87
291, 87
292, 86
293, 84
294, 81
295, 77
296, 72
297, 66
298, 60
299, 53
300, 45
301, 52
302, 58
303, 64
304, 70
305, 74
306, 77
307, 79
308, 80
309, 81
310, 81
311, 81
312, 80
313, 78
314, 76
315, 72
316, 67
317, 61
318, 55
319, 49
320, 42
321, 48
322, 55
323, 60
324, 65
325, 69
326, 72
327, 74
328, 75
329, 75
330, 75
331, 75
332, 74
333, 73
334, 70
335, 67
336, 62
337, 57
338, 51
339, 46
340, 39
341, 45
342, 51
343, 57
344, 61
345, 64
346, 67
347, 69
348, 70
349, 70
350, 70
351, 70
352, 69
353, 68
354, 65
355, 62
356, 58
357, 53
358, 48
359, 43
360, 37
361, 43
362, 48
363, 53
364, 57
365, 60
366, 62
367, 64
368, 65
369, 65
370, 65
371, 65
372, 64
373, 63
374, 61
375, 57
376, 54
377, 49
378, 45
379, 40
380, 34
381, 39
382, 44
383, 49
384, 53
385, 55
386, 57
387, 59
388, 59
389, 60
390, 60
391, 60
392, 59
393, 58
394, 56
395, 53
396, 49
397, 45
398, 41
399, 36
