# Output Neuron Index, Sum of Average Intensities (Rounded)
0, 1
1, 2
2, 3
3, 4
4, 6
5, 8
6, 10
7, 12
8, 13
9, 15
10, 16
11, 16
12, 16
13, 15
14, 13
15, 11
16, 9
17, 7
18, 5
19, 4
20, 2
21, 3
22, 4
23, 6
24, 8
25, 10
26, 12
27, 15
28, 17
29, 18
30, 19
31, 20
32, 19
33, 18
34, 16
35, 14
36, 12
37, 9
38, 7
39, 5
40, 2
41, 3
42, 5
43, 7
44, 10
45, 12
46, 15
47, 18
48, 20
49, 22
50, 23
51, 23
52, 22
53, 21
54, 19
55, 17
56, 14
57, 11
58, 8
59, 6
60, 3
61, 4
62, 7
63, 9
64, 12
65, 15
66, 17
67, 20
68, 23
69, 25
70, 26
71, 26
72, 25
73, 24
74, 22
75, 19
76, 16
77, 13
78, 10
79, 7
80, 3
81, 5
82, 8
83, 11
84, 14
85, 17
86, 20
87, 23
88, 26
89, 28
90, 29
91, 29
92, 28
93, 27
94, 24
95, 21
96, 18
97, 15
98, 11
99, 8
100, 4
101, 6
102, 9
103, 12
104, 16
105, 19
106, 22
107, 25
108, 28
109, 30
110, 32
111, 32
112, 31
113, 29
114, 27
115, 23
116, 20
117, 16
118, 12
119, 8
120, 4
121, 7
122, 10
123, 14
124, 17
125, 20
126, 24
127, 27
128, 30
129, 32
130, 33
131, 33
132, 32
133, 30
134, 28
135, 24
136, 21
137, 17
138, 12
139, 9
140, 5
141, 8
142, 11
143, 14
144, 18
145, 21
146, 25
147, 28
148, 31
149, 33
150, 34
151, 34
152, 33
153, 31
154, 28
155, 25
156, 21
157, 17
158, 13
159, 9
160, 5
161, 8
162, 12
163, 15
164, 18
165, 22
166, 25
167, 28
168, 31
169, 33
170, 34
171, 33
172, 32
173, 30
174, 28
175, 24
176, 21
177, 16
178, 12
179, 9
180, 5
181, 8
182, 12
183, 15
184, 18
185, 22
186, 25
187, 28
188, 31
189, 32
190, 33
191, 33
192, 32
193, 30
194, 27
195, 24
196, 20
197, 16
198, 12
199, 8
200, 6
201, 9
202, 12
203, 15
204, 18
205, 21
206, 25
207, 28
208, 30
209, 32
210, 33
211, 32
212, 31
213, 29
214, 27
215, 24
216, 20
217, 16
218, 12
219, 8
220, 6
221, 9
222, 12
223, 15
224, 18
225, 21
226, 25
227, 28
228, 30
229, 32
230, 33
231, 33
232, 31
233, 30
234, 27
235, 23
236, 19
237, 15
238, 11
239, 8
240, 6
241, 9
242, 12
243, 15
244, 18
245, 22
246, 25
247, 29
248, 31
249, 33
250, 33
251, 33
252, 32
253, 30
254, 27
255, 23
256, 19
257, 15
258, 11
259, 7
260, 6
261, 9
262, 12
263, 15
264, 19
265, 22
266, 26
267, 29
268, 32
269, 33
270, 34
271, 33
272, 32
273, 30
274, 27
275, 23
276, 18
277, 14
278, 10
279, 7
280, 6
281, 9
282, 12
283, 15
284, 19
285, 23
286, 26
287, 30
288, 32
289, 33
290, 33
291, 33
292, 31
293, 29
294, 25
295, 21
296, 17
297, 13
298, 9
299, 6
300, 6
301, 8
302, 11
303, 15
304, 18
305, 22
306, 26
307, 29
308, 31
309, 32
310, 32
311, 31
312, 29
313, 27
314, 23
315, 19
316, 15
317, 12
318, 8
319, 6
320, 5
321, 8
322, 10
323, 14
324, 17
325, 20
326, 24
327, 26
328, 28
329, 29
330, 29
331, 28
332, 26
333, 24
334, 21
335, 17
336, 13
337, 10
338, 7
339, 5
340, 5
341, 7
342, 9
343, 12
344, 15
345, 18
346, 21
347, 24
348, 25
349, 26
350, 26
351, 25
352, 23
353, 21
354, 18
355, 15
356, 11
357, 8
358, 6
359, 4
360, 4
361, 6
362, 8
363, 11
364, 13
365, 16
366, 19
367, 21
368, 22
369, 23
370, 23
371, 21
372, 20
373, 18
374, 15
375, 12
376, 9
377, 7
378, 5
379, 3
380, 3
381, 5
382, 7
383, 9
384, 11
385, 14
386, 16
387, 18
388, 19
389, 20
390, 19
391, 18
392, 17
393, 14
394, 12
395, 10
396, 7
397, 5
398, 4
399, 2
